,0,1
0,Box Trilogia O Senhor Dos Anéis,172.4
1,O Senhor Dos Anéis - A Sociedade Do Anel,52.4
2,O Senhor Dos Anéis - Volume Único,91.4
3,O Senhor Dos Anéis - As Duas Torres,57.3
4,O Senhor Dos Anéis - O Retorno Do Rei,57.3
5,Coleção Especial 3 Livros - O senhor dos Anéis,143.76
6,O Senhor Dos Anéis - Jornadas Na Terra Média - Galápagos,879.9
7,O Senhor Dos Anéis - Card Game (Revised Core Set) - Galápagos,549.9
8,O Senhor Dos Anéis: Jornadas Na Terra Média - Flagelos Dos Ermos (Expansão) - Galápagos,149.9
9,O Senhor Dos Anéis - Jornadas Na Terra Média - Propagação Da Guerra (Expansão) - Galápagos,799.9
10,O Silmarillion,52.4
11,Lições Do Poder,38.2
12,Phantastes,23.9
13,O Mago De Batalha - Vol 3,50.9
14,O Retorno Do Rei - Livro 3 - Capa Série,31.1
15,O Hobbit,52.4
16,As Duas Torres - Livro 2 - Capa Série,46.1
17,Box 2 - A História Da Terra-Média,192.4
18,O Um Anel,120.0
19,A Batalha De Maldon E O Regresso De Beorhtnoth,53.1
20,O Festim Dos Corvos - Livro Quatro - Ed Comemorativa,27.9
